pressure,nn_distance
6.493,7.152914601527467
6.493,4.626645528347995
6.493,6.267360904454723
6.493,6.496026972934688
6.493,3.8829430024157334
6.493,6.813139676099219
6.493,2.8829833659234994
6.493,6.5123095635162285
6.493,3.5227902557049564
6.493,4.361320730179421
6.493,5.874025111079351
6.493,8.313270830010703
6.493,6.32488094433278
6.493,2.4722981876720684
6.493,2.5433124711031523
6.493,3.0462182779652123
6.493,7.170385516488614
6.493,5.891913928779198
6.493,4.841208968380739
6.493,5.574277713414215
6.493,7.825925619506606
6.493,2.9766871864601234
6.493,4.272180880221738
6.493,5.417373317161376
6.493,2.4814676441886503
6.493,1.3968549998081585
6.493,11.254457364605823
6.493,6.771763205810588
6.493,8.255426503839066
6.493,1.0561425811123024
6.493,4.167096512168971
6.493,10.987100394307063
6.493,2.0470833734355702
6.493,6.311972147449392
6.493,6.983617250535867
6.493,1.7256614734664968
6.493,6.864308223680459
6.493,2.4675922739510203
6.493,0.28044461879901467
6.493,2.0470833734355702
6.493,1.2225154203663207
6.493,3.9053671447523266
6.493,2.237268076940113
6.493,4.593847625536756
6.493,5.787329550492402
6.493,4.3846721450507795
6.493,5.372270768732289
6.493,1.9685326904729181
6.493,4.06821246881695
6.493,2.3274479735386633
6.493,3.1641473983771657
6.493,4.6366205337627475
6.493,2.774902002386599
6.493,1.9428451646611957
6.493,8.836774426130804
6.493,1.6548394271193456
6.493,2.6082411335469735
6.493,1.598868406071493
6.493,7.605313644113965
6.493,2.195636491397125
6.493,5.1372601181041135
6.493,3.7122917096399806
6.493,3.62057200861596
6.493,7.951926352409058
6.493,3.28141270468269
6.493,7.652055083206327
6.493,4.623044139115698
6.493,9.1333934880141
6.493,8.297137117293957
6.493,8.004398747868045
6.493,4.814326315963886
6.493,1.305153938643687
6.493,3.5764211784662017
6.493,6.622697489576857
6.493,7.723955942997562
6.493,6.800391792589923
6.493,5.015569325093655
6.493,6.529572852803712
6.493,4.967621434691804
6.493,2.9509502166432346
6.493,8.582768073938146
6.493,5.304203253743277
6.493,2.5747582794501445
6.493,5.198492795144245
6.493,1.889100468836391
6.493,4.070298952220708
6.493,6.7857699728894705
6.493,7.433172674565235
6.493,4.88738705303748
6.493,5.727106420276912
6.493,2.110837312507381
6.493,6.232098728508688
6.493,3.636005189135911
6.493,4.470206577515628
6.493,4.847822032220256
6.493,5.30982183998849
6.493,0.929203949555743
6.493,6.568801119585867
6.493,5.614017868121212
6.493,3.6517582174893315
6.493,6.332194589325354
6.493,11.750428949869134
6.493,4.882387862623415
6.493,6.7427987033748575
6.493,6.490301201756651
6.493,4.235463103458082
6.493,2.9002223069241837
6.493,1.7861819936633614
6.493,9.462100169657928
6.493,3.145867142285249
6.493,4.145799855873872
6.493,6.234280962707742
6.493,2.55646305973498
6.493,1.0517854878211548
6.493,11.728484267312087
6.493,9.56906386685024
6.493,5.19660026035881
6.493,2.509554407440943
6.493,3.343000511733481
6.493,3.678736013124388
6.493,1.9600066964755374
6.493,6.471688246876494
6.493,2.3266105434039956
6.493,5.581174483508603
6.493,8.288935667959553
6.493,3.5035621244986217
6.493,4.536372970228735
6.493,2.8832745641301742
6.493,3.539761031559789
6.493,4.0553260924902395
6.493,3.5270512266527687
6.493,9.617886088020866
6.493,3.8978324953724925
6.493,7.603546937005978
6.493,4.445281528812556
6.493,2.5483248307077244
6.493,3.74708374079654
6.493,7.97013427599853
6.493,2.0508991782432275
6.493,1.3311275165212095
6.493,6.275040446365855
6.493,4.913746047694421
6.493,1.867836281369303
6.493,9.57764075341636
6.493,5.258556548377698
6.493,6.079847917197555
6.493,8.930206067799613
6.493,4.88738705303748
6.493,6.136816211945088
6.493,3.266509275864579
6.493,6.227636087938165
6.493,2.6989861253112593
6.493,2.1727873623477967
6.493,4.5002492251052715
6.493,4.966855700892195
6.493,5.1854906797914415
6.493,3.88488024066348
6.493,3.7372906435259727
6.493,3.6433938373313914
6.493,1.2896924048862097
6.493,4.138327138134087
6.493,2.7871519607147386
6.493,4.487790792948607
6.493,1.3287290421693858
6.493,3.620753291655962
6.493,4.200587626861241
6.493,1.9482590332061205
6.493,7.544655507685724
